S.NO,IMAGES,PARTICULARS,PCS RATE,GRAM,IMAGE ADRESS
172,,HERSHEY'S WHOLE ALMONDS COVERED IN CREAMY MILK CHOCOLATE ,500,60g,https://bf1af2.akinoncloudcdn.com/products/2024/12/26/97798/49ce4e73-077e-4a79-9b38-d60fb4e1fcd3_size3840_cropCenter.jpg
173,,CHOKI CHOKI ,49,27g,https://cdn11.bigcommerce.com/s-5wf0xbtgyb/images/stencil/1280x1280/products/5544/15842/image_3576610d-c79c-4dea-bd55-5a3ae25db356__19935.1709713250.jpg?c=2?imbypass=on
174,,MEIJI YAN YAN STRAWBERRY BISCUIT WITH STRAWBERRY CREAM ,110,40g,https://regalplus.com/cdn/shop/files/1af6bdad-d034-4893-89d8-87dcb44b6080.jpg?v=1736526889
175,,MEIJI YAN YAN CHOCOLATE BISCUIT WITH CHOCOLATE CREAM ,110,40g,https://www.meiji.com/global/food/common/img/chocolate/chocolate_33.jpg
176,,OREOGO CHOCOLATE STICK & CREAM DIP,99,40g,"https://m.media-amazon.com/images/I/41s7KsLpGJL.jpg_BO30,255,255,255_UF900,850_SR1910,1000,0,C_PIRIOFOUR-medium,BottomLeft,30,-20_ZJPHNwYW4gZm9yZWdyb3VuZD0iIzU2NTk1OSIgZm9udD0iQW1hem9uRW1iZXIgNTAiID43PC9zcGFuPg==,500,900,420,420,0,0_QL100_.jpg"
179,,QUICK MILK MAGIC SNIPER SALTED CARAMEL ,199,30g,"https://m.media-amazon.com/images/I/61H1DKnuvQL._AC_UF894,1000_QL80_.jpg"
182,,DREAM EXTRA FINE CHOCO BISCUIT ,129,80g,https://www.cyruscrafts.com/6124-medium_default/shirin-asal-milk-chocolate-biscuits-ta-1722--80-grams.jpg
183,,KOPIKO CAPPUCCINO CHOCOLATE PACKET,499,400g,"https://m.media-amazon.com/images/I/51cyO3lnBbL._AC_UF350,350_QL80_.jpg"
184,,KOPIKO COFFEE CHOCOLATE PACKET,499,400g,"https://images-eu.ssl-images-amazon.com/images/I/61+qo18aisL._AC_UL900_SR615,900_.jpg"
185,,BAR B Q JELLY,25,,"https://m.media-amazon.com/images/I/51+6Y+mxWJL._AC_UF894,1000_QL80_.jpg"
186,,MALTESERS,140,37g,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=1080/da/cms-assets/cms/product/7adf2fbe-d6c2-4a3b-9556-56c7dc3620bd.png"
,,WAFFERS,,,
187,,LOACKER CLASIC NAPOLITANER,130,45g,https://m.media-amazon.com/images/I/51OtqZTQKcS.jpg
188,,TIFFANY CRUNCH AND CREAMY STRAWBERRY WAFFERS,99,135g,https://www.jiomart.com/images/product/original/490009651/tiffany-crunch-n-cream-strawberry-wafers-135-g-product-images-o490009651-p590116248-0-202402130909.jpg
189,,TIFFANY CRUNCH AND CREAMY CHOCOLATE WAFFERS,99,135g,https://m.media-amazon.com/images/I/713UUylcZwL.jpg
190,,TIFFANY CRUNCH AND CREAMY HAZELNUT WAFFERS,99,135g,https://www.jiomart.com/images/product/original/490009649/tiffany-crunch-n-cream-hazelnut-wafers-135-g-product-images-o490009649-p590116246-0-202402130909.jpg
191,,TIFFANY CRUNCH AND CREAMY ORANGE WAFFERS,99,135g,https://m.media-amazon.com/images/I/71PV1kQovML.jpg
192,,TIFFANY CRUNCH AND CREAMY VANILA WAFFERS,99,135g,"https://m.media-amazon.com/images/I/71uyk1+oUEL._AC_UF894,1000_QL80_.jpg"
193,,TIFFANY CRUNCH AND CREAMY STRAWBERRY WAFFERS,66,65g,"https://www.jiomart.com/images/product/original/490160321/tiffany-crunch-n-cream-strawberry-wafers-65-g-product-images-o490160321-p590123140-0-202402130909.jpg?im=Resize=(420,420)"
